Code,Mes.,Annotations de mesures,Remarques / observations,Analyse personnelle / TP de séminaire,,,,,,,,,,,,,
tim-,325,Transition en fondu enchaîné dans l'orchestre à cordes,...,...,,,,,,,,,,,,,
mo-,325,Motif de la frayeur,,,,Système de couleurs,,,,,,,,,,,
graph- int-,325,La- ton central,,,,Catégories d'éléments,,,,Couleurs,Code hexadécimal*,,,,,,
graph- mo-,325-329,Lien motif de la frayeur et tambour-major,,,,,,,,,,,,,,,
mo-,326,Disprarition progressive du motif de la frayeur,,,,Dynamiques,,,,Orange,ffc000,,,,,,
tim-,327-29,Arrivée de la fanfare (cf. ???),texte pas clair,,,"Durée (rythmes, métriques, tempi...)",,,,Bleu ciel,00b0f0,,,,,,
int-,328,Intervalle de Ré dièse-Si bécarre,,,,"Formes (structures, formes musicales)",,,,Violet,7030a0,,,,,,
,328,Tambour-major,,,,"Intonation (hauteurs, inrvalles, mélodies...)",,,,Rouge,ff0000,,,,,,
mo-,329,Tête du motif de la fanfare,,,,Motifs et fonctions dramaturgiques/narratologiques,,,,Vert,00b050,,,,,,
int-,329,Sonorité de gamme par ton,,,,"Timbre (orchestration, texture...)",,,,Brun,b84507,,,,,,
,,,,,,,,,,,,,,,,,
mo-,330,"Flûtes: Si-Fa: la mort...Répétition, diminution",,,,*Dans le cas où on perdait le code de couleur exact...,,,,,,,,,,,
graph- int-,332,"Accord de 5a (voir GPS m.419-420, m.483-484)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
int-,334,Basse tonalement polarisée (Do dièse min.),,,,,,,,,,,,,,,
graph- tim-,334,Piccolo: contrechant lié au thème (cf. marche des symphonie de Mahler),,,,,,,,,,,,,,,
graph- mo-,334,"Hautbois: antécédant, marche militaire...thème futile et insignifiant en 3ces",,,,,,,,,,,,,,,
graph- mo-,335-336,Conséquent ,,,,,,,,,,,,,,,
graph- mo-,337,Antécédant au cuivres,,,,,,,,,,,,,,,
graph- mo-,339,Conséquent au bois,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
mo-,342,Reprise du 2e thème du tambour-major développé avec (???),texte pas clair,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
tim-,345,Piccolo: extrême aigu,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
mo-,346,Cor: ligne chromatique ajoutant une tension sous jacente,,,,,,,,,,,,,,,
mo-,346,"Marie: chanson populaire (df. Knaben Wonderhorn), mélodie militaire",,,,,,,,,,,,,,,
int-,346,La bémol éphémère,,,,,,,,,,,,,,,
,350,Margret: jalousie,,,,,,,,,,,,,,,
mo-,350,Cor: reprise à la dominante de l'air de Marie,,,,,,,,,,,,,,,
int-,349-51,Pédale de dominante au trombone,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
mo-,354-55,Trombones: thème du tambour-major en augmentation,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
mo-,356-57,Cors: antécédent développement par palliers,,,,,,,,,,,,,,,
du-,356,Bois: ostinato sur 3 sons: annonce le Klagelaut,,,,,,,,,,,,,,,
graph- int-,256,"Piccolo, cl.: 2m,3m",,,,,,,,,,,,,,,
int-,360,Bois: conséquent (très bref)...Sommet atteint,,,,,,,,,,,,,,,
tim-,362,Déflagration: reprise orchestralement amplifiée (ambitus 2x8ve de plus),,,,,,,,,,,,,,,
mo-,362,Thème du tambour major,,,,,,,,,,,,,,,
graph- int-,362,Do dièse mineur au cuivres,,,,,,,,,,,,,,,
int-,362,Fa lydien au bois,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
tim-,363,Sonorité atténuée après la grossière fanfare,,,,,,,,,,,,,,,
mo-,363,Future harmonisation de la berceuse,,,,,,,,,,,,,,,
mo-,363,"Violons: klagelaut de Marie...Fin de ""Wir arme leut "": m.137",,,,,,,,,,,,,,,
mo-,363,"Harmonisation à la quarte (l'enfant) (La bémol app., Ré-Sol-Do-Fa)",,,,,,,,,,,,,,,
graph- mo-,364,"""Komm mein Bub"": 3ce min (couteau), 2de min (sang)",,,,,,,,,,,,,,,
graph- int-,363-364,soupir,,,,,,,,,,,,,,,
graph- int-,365,Cuivres: accords mineurs (6/4)...Voix supérieur aux cors,,,,,,,,,,,,,,,
int-,365,Pédale de Si bémol,,,,,,,,,,,,,,,
int-,365,Si bémol: lieu tonal de la berceuse,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
int-,366,Bois: suite des accords min 6/4...Se calment progressivement,,,,,,,,,,,,,,,
graph- int-,367,Violoncelles: redépart accords 6/4 Fa dièse min. et oscillation au violon,,,,,,,,,,,,,,,
tim-,368,Cors: trille ...Inquiètude de Marie et relais du Si bémol au violons,,,,,,,,,,,,,,,
graph- int-,368,Suites des accords de 6/4 au cordes,,,,,,,,,,,,,,,
graph- int-,369,Relais du Si bémol du cor par la flûte,,,,,,,,,,,,,,,
int-,369,Cordes: apparition d'autres accords (???),texte pas clair,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
tim-,370,orchestre de chambre...Pas de contrebasse dans la berceuse,,,,,,,,,,,,,,,
int-,370,La pédale de Si bémol préparait le Si bémol majeur,,,,,,,,,,,,,,,
graph- tim-,370,relais entre le Si bémol de la flûte et celui du violon,,,,,,,,,,,,,,,
mo-,370,Intervalle de quarte (dans la ligne vocale de Marie et au celesta) amène le refrain de la berceuse,,,,,,,,,,,,,,,
graph- tim-,370,"Celesta: couleur cristalline, pureté du monde de l'enfance (cf.288 puis 417)",,,,,,,,,,,,,,,
tim-,371,Violon seul! ,,,,,,,,,,,,,,,
tim-,372,Violons: doublure des points d'appui de la voix,,,,,,,,,,,,,,,
mo-,372,Marie: Sicilienne (2de min)...(Ré-Si-Si bémol) klagelaut,,,,,,,,,,,,,,,
graph- int-,372,Basson: basse (La),,,,,,,,,,,,,,,
mo-,373,Marie : reprise du thème mélodique transposée (Ré bémol),,,,,,,,,,,,,,,
du-,373,Flûtes: rythme bercant,,,,,,,,,,,,,,,
int-,372-74,"Cordes: I2-Accord de 4te superposées (atteint par chromatisme), accord broderie",,,,,,,,,,,,,,,
int-,374,"Accord avec 7e, accord échappée",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
du-,375,Rythme de sicilienne suivie d'une pédale de Ré,,,,,,,,,,,,,,,
graph- mo-,375,Marie: glissando parcourant l'intervalle de quarte...Elle n'a pas d'homme sur qui s'appuyer,,,,,,,,,,,,,,,
mo-,376-78,"Thème de la bêtise de Wozzeck (I,1 m.97)",,,,,,,,,,,,,,,
int-,,"I2, 7e min 4/3 sur une basse de Ré",,,,,,,,,,,,,,,
int-,378,Dominante de La bémol,Voir quelques autres chiffrage sur la partition,,,,,,,,,,,,,,
int-,379,Cordes: 4te superposées en toute majesté,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
int-,380,Cuivres: notes pédales,,,,,,,,,,,,,,,
tim-,380,Harpe: arpège l'accord,,,,,,,,,,,,,,,
int-,380-81,"Marie: arpège Sol min, arpège Fa dièse min...La voix émerge au dessus nettement",,,,,,,,,,,,,,,
tim-,380,Texture pleine et calme...Au cordes: superposition de 4te (pas dans l'ordre avec résolution du Mi),,,,,,,,,,,,,,,
tim-,383-84,Cordes: caractère romantique...Préparent la dominante...6te augmentée,Voir le chiffrage en dessous des cordes,,,,,,,,,,,,,,
graph- int-,383-84,Accords ,,,,,,,,,,,,,,,
tim-,385,Flûte: Imitation de la voix...???,Texte pas clair,,,,,,,,,,,,,,
tim-,385,Violoncelle: imitation de la voix en diminution,,,,,,,,,,,,,,,
graph- int-,386-87,Voir chiffrage...Au Vlc dominante de Si Bémol,,,,,,,,,,,,,,,
graph- tim-,388,Instrumentation plus cuivrée...Les cuivres doublent la voix,,,,,,,,,,,,,,,
du-,388,Percussion: imitation du rythme de sicilienne,,,,,,,,,,,,,,,
for-,388,2e couplet commence,,,,,,,,,,,,,,,
mo-,388,Marie: mention des chevaux...Six fois m.390...,Ce passage n'est pas très clair,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
graph- mo-,392,"Bois: tourmante, rythme de sicilienne...Thème de la bêtise...Coupure: éclatement de la misère",,,,,,,,,,,,,,,
