Catégorie,Mes.,Annotations de mesures,Remarques / observations,Analyse personnelle / TP de séminaire,,,,,,,,,,,,,
mo-,1-2,Silence (citation du silence à la fin de l'Act. II),,,,,,,,,,,,,,,
mo-,1-2,"Atmoshpère de recueillement religieux, le silence introduit la méditation",,,,Système de couleurs,,,,,,,,,,,
mo-,3-6,1ère entrée du thème (Vla),,,,Catégories d'éléments,,,,Couleurs,Code hexadécimal*,,,,,,
int-,3-6,"Vla. : Descente de quarte juste (l'enfant), ascension de tierce mineure (le couteau), descente de seconde majeure (le sang), descente de sixte mineure (T.-M.), ascension de tièrce mineure. Arrêt sur pédale de Si bémol",,,,Dynamiques,,,,Orange,ffc000,dy-,,,,,
graph- mo-,4-6,2e entrée du thème (Vl / Vlc),,,,"Durée (rythmes, métriques, tempi...)",,,,Bleu ciel,00b0f0,du-,,,,,
int-,4-6,Vl. : Arrêt sur la 4e note (1ère variante),,"Arrêt sur la 4e note (1ère variante), puis arrêt sur la 4e note du motif initial.",,"Formes (structures, formes musicales)",,,,Violet,7030a0,for-,,,,,
int-,4-6,"Lien entre Vl. et Vla. : Ré - Sol (5te, Marie) Fa - Si b (5te), Mi - Si b (4te aug, la mort)",,,,"Intonation (hauteurs, inrvalles, mélodies...)",,,,Rouge,ff0000,int-,,,,,
mo-,4-6,Vlc. : Arrêt sur la 5e note,,,,Motifs et fonctions dramaturgiques/narratologiques,,,,Vert,00b050,mo-,,,,,
mo-,5-6,"M. : parlando, mode vocal pour sa lecture de la Bible (Citation de Pélléas, L'air de la Bible)",,,,"Timbre (orchestration, texture...)",,,,Brun,b84507,tim-,,,,,
graph- int-,5-6,"Lien entre M. et ensemble : Mi - Mi (Betrug) violon / violoncelle, Fa # - La (Munde, 3ce min.) flute / cor",,Fa # - Fa # (Munde) clarinette,,,,,,,,,,,,,
int-,5-6,"3e entrée du thème (clarinette) : Arrêt sur la 3e note (2e variante), Fa # (tendresse)",,,,*Dans le cas où on perdait le code de couleur exact...,,,,,,,,,,,
graph- mo-,6,"4e entrée du thème (flûte, cor)",,,,,,,,,,,,,,,
mo-,6,Fl. : Arrêt sur la 1ère note (3e variante),,,,,,,,,,,,,,,
mo-,6,Hr. : Arrêt sur la 2e note (3e variante),,,,,,,,,,,,,,,
graph- int-,6,"Cordes : Accord de Mi b, Fl., Kl. et Hr : Accord de Ré Majeur",,,,,,,,,,,,,,,
int-,6,"M. : Ré - La (erfunden), Si b - Mi b (worden) (1er intervalle suit l'accord de ré majeur, 2e intervalle suit l'accord de Mi b)",,,,,,,,,,,,,,,
mo-,7,"M. : Élément thématique b : Coda 1ère fugue du clavier tempéré (B - A - C - H), Klage laut dans le désordre (2e mineure, 3ce mineure, 2de mineure)",,,,,,,,,,,,,,,
mo-,7,Vl. : Élément thématique b,,,,,,,,,,,,,,,
mo-,7,"Trp. : Élément thématique d : Motif de la frayeur, harmonisés en seconde majeures",,,,,,,,,,,,,,,
mo-,7-9,"Vlc. & Kb. : Élément thèmatique e, total chromatique : Motif d'aspiration, qui se tend, en rythme ralentissant",,"Enchainement de  motifs de Klage Laut dans le désordre (Si - Si b - Do #, Do # - Do - Mi b)",…,,,,,,,,,,,,
mo-,8,"Kl. : Élément thématique c : Trille 2de Maj., puis variante Wir arme leut (citation Landler / Péché, p. 288, m. 421 - 422), misère",,,,,,,,,,,,,,,
graph- mo-,8,"M. : Élément thématique c (Sieh mich nicht an!) : (Fa - Do - Fa # - Bb) 3ce Maj., 5te dim. (mis en évidence Do # - Fa #), 7e Maj.",,,,,,,,,,,,,,,
mo-,8-9,"Vl. 1 : Élément thématique f : La - Mi (4te), Mi - La b (3ce Maj.), La b - Sol (2de min.), Sol - Mi b (3ce Maj.)",,,,,,,,,,,,,,,
