Code,Mes.,Annotations de mesures,Remarques / observations,Analyse personnelle / TP de séminaire,,,,,,,,,,,,,
du-,219,Homorythmie croissante,,,,,,,,,,,,,,,
int-,,Accord important : Si - Do - Fa - La - Ré - Mi,,,,Codes de couleur,,,,,,,,,,,
int-,220-221,"Accord important : Si b - Do # - Mi - Sol # - Mi b - Fa (3ce min. entre Si b et Do #, 5te entre Sol # et Mi b, 9e min entre Mi et Fa)",,,,Catégories d'éléments,,,,Couleurs,Code hexadécimal*,,,,,,
int-,,"2e accord important est l'autre moitié du total chromatique de l'accord précédent (sauf Sol, tonique de l'accord fondamental) et accord entre les deux pédales de Si (fin 2e sc.)",2e scène de quel acte?,,,Dynamiques,,,,Orange,ffc000,,,,,,
int-,,"Moitié du total chromatique et sensation de pentatonique (sauf Mi) sur Ré b (Do #, note de la soumission) et cycle de 5te (sauf Mi) : Ré b - La b - Mi b - Si b - Fa",,,,"Durée (rythmes, métriques, tempi...)",,,,Bleu ciel,00b0f0,,,,,,
int-,,Gamme blues?,,,,"Formes (structures, formes musicales)",,,,Violet,7030a0,,,,,,
tim-,,Battement arpège,??? Juste vérifier qu'il s'agit bien du mot « arpège »,Diminution orchestrale,,"Intonation (hauteurs, inrvalles, mélodies...)",,,,Rouge,ff0000,,,,,,
du-,,Ritenuto + Rallentendo écrit,,,,Motifs et fonctions dramaturgiques/narratologiques,,,,Vert,00b050,,,,,,
,,,,,,"Timbre (orchestration, texture...)",,,,Brun,b84507,,,,,,
tim-,222,Accord présenté sans doublures,,,,,,,,,,,,,,,
int-,,"Wozzeck : Intervalle important (Si b - Ré b « Das Messer? », 3ce mineure représentant le couteau)",,,,*Dans le cas où on perdait le code de couleur exact...,,,,,,,,,,,
int-,,Vla. get. : Intervalle important (Mi b - La b),,,,,,,,,,,,,,,
tim-,,"Vla. get. : Tremolo am Steg = tremolo sur le chevalet, arco",,,,,,,,,,,,,,,
dy-,,Vla. get. : sforzando puis pianissimo,,,,,,,,,,,,,,,
mo-,222-223,Wozzeck : Descente chromatique (motif frayeur),,,,,,,,,,,,,,,
mo-,222-224,Pk : Contrafact du motif de Wozzeck m. 312 et suite,m. 312 de quel acte?,,,,,,,,,,,,,,
int-,,Wozzeck & Pk. : hauteurs des deux premières notes de l'accord de la scène,,,,,,,,,,,,,,,
mo-,,Vl. solos : George Pearle 18 - Motif de la frayeur (descente chromatique),,,,,,,,,,,,,,,
int-,223,"Wozzeck : Intervalles importants (Mi - Fa « Ich hab's » (2de mineure), Fa - Si « hab's dagelassen » (4te aug))",,,,,,,,,,,,,,,
int-,,"Wozzeck : « hab's dagelassen » 3ce min. et 2de min. (sang - frayeur - étang), Klage laut",Je comprends pas vraiment cette partie-ci,,,,,,,,,,,,,,
tim-,224,Vl. Übrig. get. : relais des Vl. solos en col legno gestrichen,,,,,,,,,,,,,,,
int-,224-226,Kl. : Arpège de l'accord (pentatonique + Mi),,,,,,,,,,,,,,,
int-,225-226,Vl. Übrig. get. : Mouvements contraires chromatiques,,,,,,,,,,,,,,,
int-,,"Intervalles résultants : 9e min (La - Si b), 7 maj. (Si b - La), 7e dim (Si - La b), 5te (Do - Sol), 4te (Do # - Fa #), 3ce min. (Ré - Fa), 2de min. (Ré # - Mi)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
int-,226,"Wozzeck : Intervalle important (Fa - Mi « Mir graut's » (2de min., appogiature))",,,,,,,,,,,,,,,
int-,,"Fl. 1 réitère la fin de la ligne mélodique de Wozzeck, effet de relais",,,,,,,,,,,,,,,
tim-,,Les notes des Vl. donne l'interaction entre les Fl.,,,,,,,,,,,,,,,
du-,226-230,"Fl. : Rythme régulier et décalé à la fois (Cercles dans l'eau, référentiel à Ligeti), préfigure la noyade de Wozzeck (m. 302 et suite, déjà à m. 28-29 AISc.1)",,,,,,,,,,,,,,,
int-,,Bois : Accord de la scène complet,,,,,,,,,,,,,,,
int-,227,Wozzeck : Intervalle important (Si b - Ré b « regt sich » (3ce min.)),,,,,,,,,,,,,,,
int-,,Wozzeck : Ligne mélodique suit les Kl.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
int-,228-230,Cel. : Arpège des clarinettes,,,,,,,,,,,,,,,
int-,229-232,"Wozzeck : Tout le passage « Still! Alles still und tot. » contient des notes étrangères à l'accord (Ré - Sol - Si, arpège de Sol maj., seule note absente du total chromatique, fin de l'opera)",,,,,,,,,,,,,,,
tim-,230,Cordes : unhörbar einsetzen = Rentrer sans qu'on s'en rende compte,,,,,,,,,,,,,,,
int-,,Cordes : Accord complet dans sa forme la plus resserrée,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
int-,232-233,Bois : Déploiement et exaspération de la 2de min. (Mi - Fa),,,,,,,,,,,,,,,
int-,,Bois : Montée dans l'aigu,,,,,,,,,,,,,,,
int-,233,Hfe. : Gamme de Ré b maj.,,,,,,,,,,,,,,,
dy-,233-234,"Wozzeck : Fa aigu, geschrien = hurlé",,,,,,,,,,,,,,,
int-,233-235,Trp. : Perpétuation de la 2de min. Mi - Fa,,,,,,,,,,,,,,,
int-,,"Cuivres : Trio en 2des serrées (Mi - Fa, La b - Si b, Ré b - Mi b), accord complet",,,,,,,,,,,,,,,
dy-,,Cuivres : Hauptstimme,,,,,,,,,,,,,,,
du-,,Cuivres : Entrées sur le rythme Immer zu,,,,,,,,,,,,,,,
int-,234,"Hfe. : Gamme de Do maj., puis gamme de Do b",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
tim-,235,Wozzeck : wieder geflüstert = soupiré à nouveau,,,,,,,,,,,,,,,
,235-236,,,"Cordes : Rythme Immer zu, imitation des cuivres",,,,,,,,,,,,,
int-,236-237,"Englh. = Mi b, Kl. = Si b, Hr. = Do #, Trp. = Mi, Vla. solo = Fa, Vlc. solo = Si b : Accord complet",,,,,,,,,,,,,,,
int-,,Vla. solo & Vlc. solo : Arpèges avec 5te dim,,"Englh., Kl., Hr., Trp., Vla. solo & Vlc. solo : Arpèges sur des notes différentes, battement accord complet",,,,,,,,,,,,,
du-,,"Englh., Kl., Hr., Trp., Vla. solo & Vlc. solo : Accelerando écrit",,,,,,,,,,,,,,,
mo-,237,Cordes : Hetzmotiv de l'arrivée de Wozzeck sur l'accord (et renversements),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
int-,238,Orchestre de cordes : Différents renversements de l'accord,,,,,,,,,,,,,,,
du-,,Orchestre de cordes : Rythme Immer zu,,,,,,,,,,,,,,,
mo-,238-239,Wozzeck : Réminiscence du Ländler (m. 167),,,,,,,,,,,,,,,
int-,238-241,"Englh., Kl., Hr., Trp., Vla. solo & Vlc. solo : Permutations dans les notes de l'accord",,,,,,,,,,,,,,,
int-,,Vla. solo : Sib - Fa - La b - Mi - Mi b - Ré b,,,,,,,,,,,,,,,
int-,239-240,"Wozzeck : Notes de l'accord (Do # - Si b - La b - Fa - Mi - Mi b, « Was hast Du für eine rote Schnur »)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
int-,241,Wozzeck : Chante l'accord de 4tes de la Hfe.,,,,,,,,,,,,,,,
int-,241-242,"Vl. 1 solo : Intervalles importants (Si - Fa (4te aug), La - Ré (4te))",,,,,,,,,,,,,,,
int-,,Vl. 2 solo : Oscillation entre Mi - Fa,,,,,,,,,,,,,,,
mo-,,Vl. solo : Réminiscence de m. 481 - 482 (p. 304) et m. 670-671 (p. 337),,,,,,,,,,,,,,,
int-,241-243,Hfe. : Notes de l'accord dans diverses présentations (accord de 4tes et accord de Mi b min. en 1er renversement),,"Hfe. : Rythme de valse, réminiscence m. 481 AIISc.4 et/ou m. 97-99 A1Sc.1",,,,,,,,,,,,,
int-,242-243,Kl. & Wozzeck : Parallélisme 3ce maj. et unisson,,,,,,,,,,,,,,,
mo-,243,"Vl. solo : George Pearle 13, le Tambour-Major",,,,,,,,,,,,,,,
int-,243-244,Fl. : Intervalle important (Si - Fa (5te dim.)),,Fl. : Réduction de l'accord fondamental de Wozzeck (Sol - Si - Fa),,,,,,,,,,,,,
int-,244,Wozzeck : Imitation de la Fl. rythmiquement inexacte,,Wozzeck : Falsetto = figuralisme de la brillance des boucles d'oreilles,,,,,,,,,,,,,
int-,244-245,Kl. : Descentes de secondes,,,,,,,,,,,,,,,
mo-,244-246,"Vl. solo : George Pearle 15, thème rappelant les boucles d'oreilles à la mention des boucles d'oreilles (mêmes rythmes, mais intervalles s'agrandissant)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
int-,245,"Vl. solo : 4te et 5te (Mi b - La b, Mi b - Si b), contient les trios 5tes de l'accord (Ré b - La b - Mi b - Si b)",,,,,,,,,,,,,,,
int-,245-246,"Fl. & Kl. : 3ce min. descendantes (pas toutes dans l'accord, quasi Wir arme leut)",,,,,,,,,,,,,,,
int-,246,"Cordes : Sauts d'octaves Mi - Mi, Fa - Fa",,,,,,,,,,,,,,,
int-,246-247,Fg. & Kfg. : 4 dernières notes de la descente font partie de l'accord de la scène,,,,,,,,,,,,,,,
mo-,247,Fl. : Appels stridents (octaves des Immer zu et Ländler),Ce serait pertinent de spécifier le numéro de mesure,,,,,,,,,,,,,,
int-,247-249,Kb. : Cycles de 5tes (Ré b - La b - Mi b - Si b),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
du-,249-250,Trp. 1 - 2 & Xyl. : Rythme Immer zu ,,Pk. : Rythme Immer zu,,,,,,,,,,,,,
int-,249-251,"Fl. : Trille Mi - Fa, Trp. & Xyl : Si b - Do #, Pk. : Sol # - Ré #",,,,,,,,,,,,,,,
int-,,Wozzeck : En lien avec les trompettes (Do # - Si b),,"Fl. : 2de min. (peur), Trp. & Xyl. : 3ce min. (couteau), Pk. : 5te (Marie)",,,,,,,,,,,,,
tim-,250-251,Trp. 1 - 2 : Flutterzunge,,,,,,,,,,,,,,,
tim-,251,"Trp. 3 - 4 & Pos. : Schetternd = éclatant, strident",,,,,,,,,,,,,,,
int-,,Trp. 3 - 4 & Pos. : Complète le total chromatique,,,,,,,,,,,,,,,
mo-,,Total chromatique en lien avec Wozzeck « Mörder!! »,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
int-,252,Trp. 3 - 4 & Pos. : Accord de la scène,,,,,,,,,,,,,,,
int-,,Vlc. & Kb. : Accord de la scène,,,,,,,,,,,,,,,
int-,252-253,Bois : Accord de la scène,,,,,,,,,,,,,,,
int-,,Wozzeck : Déploiement mélodique de l'accord,,,,,,,,,,,,,,,
tim-,252-254,gr. Tr. : Hauptstimme,,,,,,,,,,,,,,,
du-,,gr. Tr. : Hauptrythmus (rythme de l'accusation),,,,,,,,,,,,,,,
int-,253,"Hr., Pos. & Btb. : Accord de la scène",,,,,,,,,,,,,,,
int-,,Cordes : Accord de la scène,,,,,,,,,,,,,,,
mo-,,Cordes : Projection des harmoniques (brillance de la lame du couteau?),,,,,,,,,,,,,,,
int-,253-254,"Wozzeck : Intervalle important (La - Do « Das Messer verät mich! » (3ce min., le couteau))",,,,,,,,,,,,,,,
mo-,,Élision du Hauptrythmus et de la 3ce min. de Wozzeck,,Le couteau devient une personnification de la culpabilité de Wozzeck,,,,,,,,,,,,,
int-,254,Hr. & Trp. : Accord de la scène,,,,,,,,,,,,,,,
int-,,Wozzeck : Déploiement mélodique de l'accord,,,,,,,,,,,,,,,
int-,,Vla. : Mi - Fa,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
int-,255,Cordes : Accord de la scène,,,,,,,,,,,,,,,
int-,,"Picc., Fl., Ob., Kl., Hr. & Trp. : Accord de la scène",,,,,,,,,,,,,,,
int-,,Cel. & Hfe. : Accord de la scène (accord de 4tes),,,,,,,,,,,,,,,
int-,255-256,Hfe. : Gamme de Ré b maj.,,,,,,,,,,,,,,,
mo-,,"Fl. : Arpège de Fa min. (récit de l'enfant approfondi, Marie AIIISc.1)","Est-ce bien marqué « approfondi » ? De plus, le numéro de mesure serait pertinent",,,,,,,,,,,,,,
int-,,Kl. : Gamme de Si b phrygien,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
du-,257,wie zu Anfang dieser Szene = Comme au début de la scène,,,,,,,,,,,,,,,
int-,257-258,"Cordes : Accord serré, comme au début de la scène (aux cords plutôt qu'aux bois)",,,,,,,,,,,,,,,
du-,,Ritenuto + Rallentendo écrit,,,,,,,,,,,,,,,
mo-,259,Hfe. : Accord de la scène (nicht arpegg. = non arpégié) au moment où Wozzeck lance le couteau,,,,,,,,,,,,,,,
int-,,Cuivres : Accord de la scène,,,,,,,,,,,,,,,
int-,,Bois : Accord de la scène,,,,,,,,,,,,,,,
du-,,Complémentarité rythmique entre cuivres et bois,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
int-,259-261,Wozzeck : Déploiement mélodique de l'accord précédé par une broderie sur Sol,,,,,,,,,,,,,,,
dy-,262-266,"Beck. frethängend & kl. Tam-Tam : Fond sourd, pianissimo",,,,,,,,,,,,,,,
dy-,,Hfe. : Hauptstimme,,,,,,,,,,,,,,,
mo-,,"Hfe. : Accord arpégié, figuralisme de la lune qui monte",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
int-,265-266,"Wozzeck : Notes autres à l'accord (Sol = appogiature le La b, Do & Si = notes de passage entre Ré b et Si b)",,"Sol et Si, diminution de l'accord fondamental de Wozzeck?",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
int-,267-268,"Vl. 1 : 1ère transposition de l'accord (3ce min. vers le haut, Do # - Mi - Fa # - Sol - Sol # - Si)",,,,,,,,,,,,,,,
