Catégorie,Pages,Annotations générales,Remarques / observations,Analyse personnelle / TP de séminaire,,,,,,,,,,,,,
for-,381,(Commentaire d'acte) Éclatement de la forme : Chaque scène est son univers,,,,,,,,,,,,,,,
mo-,381,"Passage de la culpabilité au repentir, contraste entre la cérémonie et la catastrophe",,,,Codes de couleur,,,,,,,,,,,
for-,381,"Importance du chiffre 7, tout comme Acte I Sc. IV",,,,Catégories d'éléments,,,,Couleurs,Code hexadécimal*,,,,,,
for-,381,7 variations d'un thème de 7 mesures ou 7 noires,,,,Dynamiques,,,,Orange,ffc000,,,,,,
mo-,381,"1ère partie du thème (m. 3 - 6) : Lecture de la bible, harmonie diatonique et consonnante (Sol mineur), 1 seul élément, (segment a, thème de 6 notes)",,,,"Durée (rythmes, métriques, tempi...)",,,,Bleu ciel,00b0f0,,,,,,
mo-,381,Courbe du thème : prosternation où Marie relève la tête pour demander le pardon,,,,"Formes (structures, formes musicales)",,,,Violet,7030a0,,,,,,
mo-,381,Symbolisme de la croix : citation de J.S.Bach La Passion selon Saint-Mathieu,"(Sol, Mi b, Ré, Fa : Gesu, Domine Filli)",,,"Intonation (hauteurs, inrvalles, mélodies...)",,,,Rouge,ff0000,,,,,,
for-,381,6 entrées successives avec déperdition d'une note à chaque fois,6 + 5 + 4 + 3 + 2 + 1 = 21 (ou 3 x 7),,,Motifs et fonctions dramaturgiques/narratologiques,,,,Vert,00b050,,,,,,
tim-,381,"Canon 4 voix (thème par imitations) pour instruments solistes (trio de cordes avec sourdine), ensemble minimal",,Sentiment d'orchestre de chambre,,"Timbre (orchestration, texture...)",,,,Brun,b84507,,,,,,
,381,,,,,,,,,,,,,,,,
mo-,382,"2e partie du thème (m. 7 - 9), le cri de douleur de sa conscience",,,,*Dans le cas où on perdait le code de couleur exact...,,,,,,,,,,,
mo-,382,"Cri de désespoir, prise de conscience de la misère spirituelle",,,,,,,,,,,,,,,
mo-,382,"6 éléments de thème (b, c, d, e, f, g)",,La quantité d'éléments thématiques qui s'enchevêtrent pourraient représenter la charge mentale de la culpabilité de Marie,,,,,,,,,,,,,
tim-,382,"Grands contrastes : chant, harmonie atonale, cordes en orchestre sans sourdines + cuivres",,,,,,,,,,,,,,,
,382,,,,,,,,,,,,,,,,
for-,383,1ère var. : 7 mesures,,,,,,,,,,,,,,,
mo-,383,"Principes de variations : pas ornementales, mais par var., dev. motiviques et rythmiques (resserements, élargissements, interpolations)",,,,,,,,,,,,,,,
mo-,383,"Reprise des imitations canoniques avec var. qui changent l'harmonie, qui est moins consonnante.",,,,,,,,,,,,,,,
mo-,383,Suppression de l'entrée sur 4 notes,,,,,,,,,,,,,,,
,383,,,,,,,,,,,,,,,,
for-,384,2e var. : Resserement (4 noires + 3 noires) en 2 mesures,,,,,,,,,,,,,,,
,384,,,,,,,,,,,,,,,,
for-,385,3e var. : 7 mesures,,,,,,,,,,,,,,,
,385,,,,,,,,,,,,,,,,
for-,387,"4e var. : 7 mesures, sonorité de tonalité de Sol min.",,,,,,,,,,,,,,,
,387,,,,,,,,,,,,,,,,
du-,388,Ritenuto : Ambiance plus tendre,,,,,,,,,,,,,,,
,388,,,,,,,,,,,,,,,,
for-,389,5e var. : 7 mesures,,,,,,,,,,,,,,,
mo-,389,"Page tonale qui intègre remarquablement les éléments atonaux précédents, Source affective du passé, tendresse funèbre, «casteler»",Est-ce vraiment le mot casteler écrit ici?,,,,,,,,,,,,,,
,389,,,,,,,,,,,,,,,,
for-,391,1ère partie tonale,,,,,,,,,,,,,,,
for-,391,6e var. : 5 mesures (+ 2 de la 2e var. = 7),,,,,,,,,,,,,,,
,391,,,,,,,,,,,,,,,,
mo-,392,"2e partie atonale : Coupure psychologique, musicale, scénique, linguistique",,,,,,,,,,,,,,,
mo-,392,Présentation du thème,,,,,,,,,,,,,,,
,392,,,,,,,,,,,,,,,,
for-,393,7e var. : 7 mesures = 7 temps,,,,,,,,,,,,,,,
,393,,,,,,,,,,,,,,,,
mo-,394,"Fugue : thème à 7 sons sans contre-sujet, ni divertissement",,,,,,,,,,,,,,,
mo-,394,1er sujet : élément thématique a,,,,,,,,,,,,,,,
,394,,,,,,,,,,,,,,,,
mo-,395,Supplication se poursuivant à l'orchestre,,,,,,,,,,,,,,,
,395,,,,,,,,,,,,,,,,
mo-,397,Élimination du thème par figure chromatique descendante,,,,,,,,,,,,,,,
,397,,,,,,,,,,,,,,,,
mo-,398,"Déploiement mélodique des deux harmonies à m. 6 (7e Maj.), vie spirituelle et personnelle face à face",,,,,,,,,,,,,,,
